Company Name,ROC registration number,Incorporation year,Industry group code,Industry type,NIC name,Main product/service group,NIC code,Size decile,ISIN code
20 Microns Ltd.,Apr-68,1987,1.0102E+14,1,Other mining and quarrying,Minerals,8,Decile 3,INE144J01027
A B C Bearings Ltd. [Merged],11-12028,1961,1.01014E+14,1,"Manufacture of bearings, gears, gearing and driving elements",Ball or roller bearings,28140,Decile 3,INE779A01011
A G C Networks Ltd.,11-40652,1986,1.01042E+14,1,Other non-specialised wholesale trade n.e.c.,Services,46909,Decile 3,INE676A01019
A I Champdany Inds. Ltd.,21-2767,1917,1.01012E+14,1,"Finishing of jute, mesta and other vegetable textiles fabrics",Jute textiles,13135,Decile 3,INE768E01024
A K Capital Services Ltd.,11-274881,1993,1.02059E+14,2,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",Merchant / investment banking services,64191,Decile 3,INE701G01012
A M D Industries Ltd.,55-17141,1983,1.01012E+14,1,Manufacture of plastics products,Plastic products,222,Decile 3,INE005I01014
A M L Steel Ltd.,18-24842,1993,1.01014E+14,1,Manufacture of hot-rolled and cold-rolled products of steel,Finished Steel (Non-Alloy Steel),24105,Decile 3,INE577F01018
A P M Industries Ltd.,17-15819,1973,1.01012E+14,1,Preparation and spinning of man-made fiber including blended* man-made fiber,Blended yarn of man-made fibres,13114,Decile 3,INE170D01025
A S I Industries Ltd.,11-256122,1945,1.0102E+14,1,"Operation of sand or gravel pits, basalt / porphyry, clay (ordinary), crushing and breaking of stone for use as a flux or raw material in lime or cement, manufacture or as building material, road metal or ballast and other materials for construction","Stones, nec",8106,Decile 3,INE443A01030
A V T Natural Products Ltd.,18-12780,1986,1.01011E+14,1,"Gathering of lac, resins and rubber-like gums","Lac, gums, resins & other vegetable extracts",2302,Decile 3,INE488D01021
Accelya Kale Solutions Ltd.,60-41033,1986,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 3,INE793A01012
Adhunik Industries Ltd.,21-32200,1979,1.01014E+14,1,Manufacture of hot-rolled and cold-rolled products of steel,Bars & rods,24105,Decile 3,INE452L01012
Ajanta Soya Ltd.,17-16617,1992,1.01011E+14,1,Manufacture of hydrogenated oil and vanaspati ghee,Vanaspati,10401,Decile 3,INE601B01015
Akar Laminators Ltd.,04-12415,1989,1.0104E+14,1,Other non-specialised wholesale trade n.e.c.,Wholesale trade in plastic products,46909,Decile 3,INE984C01013
Albert David Ltd.,21-9490,1938,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,Drug formulations,21002,Decile 3,INE155C01010
Alembic Ltd.,Apr-33,1907,1.01016E+14,1,Diversified,Diversified,34,Decile 3,INE426A01027
Allied Digital Services Ltd.,11-85488,1995,1.01041E+14,1,Providing software support and maintenance to the clients,Software services,62013,Decile 3,INE102I01027
